Pond,Order,d13C,d15N ,Distance from colony (km),%N,%C
1,Calanoida,-25.86,14.58,0.226,10.7,46.27
1,Cladocera,-27.28,11.33,0.226,8.83,46.86
2,Calanoida,NA,NA,0.414,NA,NA
2,Cladocera,-28.21,4.54,0.414,6.9,43.8
3,Calanoida,NA,NA,0.859,NA,NA
3,Cladocera,-31.42,3.28,0.859,7.6,45
4,Calanoida,NA,NA,1.122,NA,NA
4,Cladocera,-28.75,2.2,1.122,9.4,47
5,Calanoida,-34.12,9.17,1.343,11.2,49.9
5,Cladocera,-34.24,3.86,1.343,8.8,49.9
6,Calanoida,-30.61,5.18,1.323,10.5,43.55
6,Cladocera,-29.9,0.97,1.323,7.09,45.25
7,Calanoida,NA,NA,1.833,NA,NA
7,Cladocera,-30.4,3.23,1.833,9.5,55.6
8,Calanoida,-29.55,6.12,2.518,11.4,48.3
8,Cladocera,-29.89,3.09,2.518,7.9,46.7
9,Calanoida,-31.28,5.48,2.153,10.71,51.52
9,Cladocera,-30.83,1.92,2.153,8.68,51.03
10,Calanoida,-32.86,6.08,2.17,9.71,50.66
10,Cladocera,-31.18,2.62,2.17,9,51.28
11,Calanoida,-32.2,3.97,5.463,8.3,57.1
11,Cladocera,-29.69,-0.6,5.463,9.3,50.8
12,Calanoida,-31.04,4.23,6.558,9.5,52.2
12,Cladocera,-27.83,1.04,6.558,9.3,51.2
